date,value
2019-06-26,197.770004
2019-06-27,200.289993
2019-06-28,198.679993
2019-07-01,203.169998
2019-07-02,201.410004
2019-07-03,203.279999
2019-07-05,203.350006
2019-07-08,200.809998
2019-07-09,199.199997
2019-07-10,201.850006
2019-07-11,203.309998
2019-07-12,202.449997
2019-07-15,204.089996
2019-07-16,204.589996
2019-07-17,204.050003
2019-07-18,204.000000
2019-07-19,205.789993
2019-07-22,203.649994
2019-07-23,208.460007
2019-07-24,207.669998
2019-07-25,208.889999
2019-07-26,207.479996
2019-07-29,208.460007
2019-07-30,208.759995
2019-07-31,216.419998
2019-08-01,213.899994
2019-08-02,205.529999
2019-08-05,197.990005
2019-08-06,196.309998
2019-08-07,195.410004
2019-08-08,200.199997
2019-08-09,201.300003
2019-08-12,199.619995
2019-08-13,201.020004
2019-08-14,203.160004
2019-08-15,203.460007
2019-08-16,204.279999
2019-08-19,210.619995
2019-08-20,210.880005
2019-08-21,212.990005
2019-08-22,213.190002
2019-08-23,209.429993
2019-08-26,205.860001
2019-08-27,207.860001
2019-08-28,204.100006
2019-08-29,208.500000
2019-08-30,210.160004
2019-09-03,206.429993
2019-09-04,208.389999
2019-09-05,212.000000
2019-09-06,214.050003
2019-09-09,214.839996
2019-09-10,213.860001
2019-09-11,218.070007
2019-09-12,224.800003
2019-09-13,220.000000
2019-09-16,217.729996
2019-09-17,219.960007
2019-09-18,221.059998
2019-09-19,222.009995
2019-09-20,221.380005
2019-09-23,218.949997
2019-09-24,221.029999
2019-09-25,218.550003
2019-09-26,220.000000
2019-09-27,220.539993
2019-09-30,220.899994
2019-10-01,225.070007
2019-10-02,223.059998
2019-10-03,218.429993
2019-10-04,225.639999
2019-10-07,226.270004
2019-10-08,225.820007
2019-10-09,227.029999
2019-10-10,227.929993
2019-10-11,232.949997
2019-10-14,234.899994
2019-10-15,236.389999
2019-10-16,233.369995
2019-10-17,235.089996
2019-10-18,234.589996
2019-10-21,237.520004
2019-10-22,241.160004
2019-10-23,242.100006
2019-10-24,244.509995
2019-10-25,243.160004
2019-10-28,247.419998
2019-10-29,248.970001
2019-10-30,244.759995
2019-10-31,247.240005
2019-11-01,249.539993
2019-11-04,257.329987
2019-11-05,257.049988
2019-11-06,256.769989
2019-11-07,258.739990
2019-11-08,258.690002
2019-11-11,258.299988
2019-11-12,261.549988
2019-11-13,261.130005
2019-11-14,263.750000
2019-11-15,263.679993
2019-11-18,265.799988
2019-11-19,267.899994
2019-11-20,265.540009
2019-11-21,263.690002
2019-11-22,262.589996
2019-11-25,262.709991
2019-11-26,266.940002
2019-11-27,265.579987
2019-11-29,266.600006
2019-12-02,267.269989
2019-12-03,258.309998
2019-12-04,261.070007
2019-12-05,263.790009
2019-12-06,267.480011
2019-12-09,270.000000
2019-12-10,268.600006
2019-12-11,268.809998
2019-12-12,267.779999
2019-12-13,271.459991
2019-12-16,277.000000
2019-12-17,279.570007
2019-12-18,279.799988
2019-12-19,279.500000
2019-12-20,282.230011
2019-12-23,280.529999
2019-12-24,284.690002
2019-12-26,284.820007
2019-12-27,291.119995
2019-12-30,289.459991
2019-12-31,289.929993
2020-01-02,296.239990
2020-01-03,297.149994
