date,value
2019-06-26,1892.479980
2019-06-27,1902.000000
2019-06-28,1909.099976
2019-07-01,1922.979980
2019-07-02,1919.380005
2019-07-03,1935.890015
2019-07-05,1928.599976
2019-07-08,1934.119995
2019-07-09,1947.800049
2019-07-10,1996.510010
2019-07-11,2025.619995
2019-07-12,2008.270020
2019-07-15,2021.400024
2019-07-16,2010.579956
2019-07-17,2007.050049
2019-07-18,1980.010010
2019-07-19,1991.209961
2019-07-22,1971.140015
2019-07-23,1995.989990
2019-07-24,1969.300049
2019-07-25,2001.000000
2019-07-26,1942.000000
2019-07-29,1930.000000
2019-07-30,1891.119995
2019-07-31,1898.109985
2019-08-01,1871.719971
2019-08-02,1845.069946
2019-08-05,1770.219971
2019-08-06,1792.229980
2019-08-07,1773.989990
2019-08-08,1806.000000
2019-08-09,1828.949951
2019-08-12,1795.989990
2019-08-13,1783.000000
2019-08-14,1793.010010
2019-08-15,1781.989990
2019-08-16,1792.890015
2019-08-19,1818.079956
2019-08-20,1814.500000
2019-08-21,1819.390015
2019-08-22,1828.000000
2019-08-23,1793.030029
2019-08-26,1766.910034
2019-08-27,1775.729980
2019-08-28,1755.000000
2019-08-29,1783.000000
2019-08-30,1797.489990
2019-09-03,1770.000000
2019-09-04,1805.000000
2019-09-05,1821.949951
2019-09-06,1838.219971
2019-09-09,1841.000000
2019-09-10,1822.750000
2019-09-11,1812.140015
2019-09-12,1837.630005
2019-09-13,1842.010010
2019-09-16,1824.020020
2019-09-17,1807.079956
2019-09-18,1817.040039
2019-09-19,1821.020020
2019-09-20,1821.709961
2019-09-23,1777.000000
2019-09-24,1790.609985
2019-09-25,1747.359985
2019-09-26,1762.790039
2019-09-27,1748.000000
2019-09-30,1726.989990
2019-10-01,1746.000000
2019-10-02,1727.739990
2019-10-03,1713.000000
2019-10-04,1726.020020
2019-10-07,1731.630005
2019-10-08,1722.489990
2019-10-09,1719.609985
2019-10-10,1725.239990
2019-10-11,1742.920044
2019-10-14,1728.910034
2019-10-15,1742.140015
2019-10-16,1773.329956
2019-10-17,1796.489990
2019-10-18,1787.800049
2019-10-21,1769.660034
2019-10-22,1788.150024
2019-10-23,1761.300049
2019-10-24,1771.089966
2019-10-25,1697.550049
2019-10-28,1748.060059
2019-10-29,1774.810059
2019-10-30,1760.239990
