date,value
2019-06-26,189.539993
2019-06-27,189.880005
2019-06-28,190.550003
2019-07-01,195.210007
2019-07-02,193.000000
2019-07-03,194.160004
2019-07-05,196.179993
2019-07-08,195.190002
2019-07-09,194.970001
2019-07-10,200.000000
2019-07-11,203.259995
2019-07-12,199.679993
2019-07-15,204.250000
2019-07-16,203.889999
2019-07-17,204.179993
2019-07-18,200.149994
2019-07-19,202.179993
2019-07-22,199.910004
2019-07-23,202.839996
2019-07-24,197.630005
2019-07-25,206.699997
2019-07-26,200.190002
2019-07-29,199.000000
2019-07-30,195.389999
2019-07-31,196.949997
2019-08-01,194.169998
2019-08-02,191.100006
2019-08-05,184.690002
2019-08-06,183.690002
2019-08-07,183.600006
2019-08-08,186.619995
2019-08-09,190.000000
2019-08-12,186.850006
2019-08-13,185.520004
2019-08-14,185.800003
2019-08-15,180.949997
2019-08-16,183.750000
2019-08-19,186.009995
2019-08-20,185.449997
2019-08-21,185.000000
2019-08-22,183.429993
2019-08-23,180.839996
2019-08-26,179.399994
2019-08-27,181.929993
2019-08-28,180.529999
2019-08-29,183.770004
2019-08-30,186.779999
2019-09-03,184.000000
2019-09-04,184.649994
2019-09-05,188.529999
2019-09-06,190.210007
2019-09-09,187.729996
2019-09-10,187.440002
2019-09-11,186.460007
2019-09-12,189.860001
2019-09-13,187.330002
2019-09-16,186.929993
2019-09-17,186.660004
2019-09-18,188.089996
2019-09-19,188.660004
2019-09-20,190.660004
2019-09-23,189.339996
2019-09-24,187.979996
2019-09-25,181.449997
2019-09-26,181.330002
2019-09-27,180.490005
2019-09-30,177.869995
2019-10-01,179.149994
2019-10-02,174.839996
2019-10-03,175.570007
2019-10-04,179.550003
2019-10-07,180.000000
2019-10-08,178.259995
2019-10-09,179.160004
2019-10-10,180.320007
2019-10-11,182.149994
2019-10-14,184.199997
2019-10-15,183.800003
2019-10-16,188.320007
2019-10-17,190.300003
2019-10-18,190.229996
2019-10-21,187.039993
2019-10-22,190.000000
2019-10-23,182.009995
2019-10-24,184.619995
2019-10-25,185.830002
2019-10-28,187.199997
2019-10-29,191.690002
2019-10-30,189.559998
2019-10-31,196.699997
2019-11-01,192.850006
2019-11-04,194.550003
2019-11-05,195.369995
2019-11-06,194.029999
2019-11-07,191.910004
2019-11-08,190.000000
2019-11-11,189.929993
2019-11-12,190.000000
2019-11-13,194.699997
2019-11-14,192.929993
2019-11-15,194.259995
2019-11-18,194.559998
