date,value
2019-06-26,1091.000000
2019-06-27,1086.750000
2019-06-28,1077.229980
2019-07-01,1101.040039
2019-07-02,1104.829956
2019-07-03,1118.500000
2019-07-05,1119.369995
2019-07-08,1125.869995
2019-07-09,1110.319946
2019-07-10,1132.319946
2019-07-11,1146.160034
2019-07-12,1142.930054
2019-07-15,1145.339966
2019-07-16,1146.729980
2019-07-17,1150.920044
2019-07-18,1142.000000
2019-07-19,1149.319946
2019-07-22,1135.469971
2019-07-23,1143.449951
2019-07-24,1132.619995
2019-07-25,1138.949951
2019-07-26,1228.000000
2019-07-29,1242.500000
2019-07-30,1227.000000
2019-07-31,1224.869995
2019-08-01,1217.630005
2019-08-02,1203.000000
2019-08-05,1172.969971
2019-08-06,1165.520020
2019-08-07,1157.800049
2019-08-08,1186.430054
2019-08-09,1199.989990
2019-08-12,1180.000000
2019-08-13,1174.349976
2019-08-14,1176.069946
2019-08-15,1168.430054
2019-08-16,1180.790039
2019-08-19,1191.829956
2019-08-20,1195.349976
2019-08-21,1195.819946
2019-08-22,1193.800049
2019-08-23,1185.170044
2019-08-26,1159.449951
2019-08-27,1183.000000
2019-08-28,1164.869995
2019-08-29,1186.420044
2019-08-30,1200.349976
2019-09-03,1181.849976
2019-09-04,1179.449951
2019-09-05,1193.660034
2019-09-06,1209.140015
2019-09-09,1207.079956
2019-09-10,1196.089966
2019-09-11,1203.890015
2019-09-12,1223.469971
2019-09-13,1232.109985
2019-09-16,1230.439941
2019-09-17,1231.630005
2019-09-18,1230.239990
2019-09-19,1232.319946
2019-09-20,1233.640015
2019-09-23,1226.569946
2019-09-24,1240.000000
2019-09-25,1216.010010
2019-09-26,1242.140015
2019-09-27,1242.829956
2019-09-30,1220.599976
2019-10-01,1222.489990
2019-10-02,1196.500000
2019-10-03,1183.339966
2019-10-04,1194.290039
2019-10-07,1207.000000
2019-10-08,1198.770020
2019-10-09,1201.329956
2019-10-10,1198.599976
2019-10-11,1224.030029
2019-10-14,1213.890015
2019-10-15,1221.500000
2019-10-16,1241.810059
2019-10-17,1251.400024
2019-10-18,1254.689941
2019-10-21,1248.699951
2019-10-22,1244.479980
2019-10-23,1240.209961
2019-10-24,1259.109985
2019-10-25,1252.000000
2019-10-28,1275.000000
2019-10-29,1276.000000
2019-10-30,1255.150024
2019-10-31,1260.000000
2019-11-01,1265.800049
2019-11-04,1276.109985
2019-11-05,1291.199951
2019-11-06,1290.089966
2019-11-07,1294.280029
2019-11-08,1301.520020
2019-11-11,1304.000000
2019-11-12,1298.569946
2019-11-13,1293.180054
2019-11-14,1295.000000
2019-11-15,1315.050049
2019-11-18,1332.339966
2019-11-19,1326.630005
2019-11-20,1311.359985
2019-11-21,1299.250000
2019-11-22,1303.000000
2019-11-25,1296.260010
2019-11-26,1309.910034
2019-11-27,1315.420044
2019-11-29,1306.599976
2019-12-02,1302.560059
2019-12-03,1278.660034
2019-12-04,1306.099976
2019-12-05,1327.000000
2019-12-06,1332.750000
2019-12-09,1338.859985
2019-12-10,1339.939941
2019-12-11,1348.300049
2019-12-12,1343.209961
2019-12-13,1347.900024
2019-12-16,1355.000000
2019-12-17,1362.410034
2019-12-18,1357.000000
2019-12-19,1351.910034
2019-12-20,1363.099976
2019-12-23,1358.729980
2019-12-24,1350.209961
2019-12-26,1346.550049
2019-12-27,1364.000000
2019-12-30,1356.810059
2019-12-31,1335.790039
2020-01-02,1348.410034
2020-01-03,1348.000000
2020-01-06,1351.630005
2020-01-07,1400.459961
2020-01-08,1394.819946
2020-01-09,1421.930054
2020-01-10,1429.469971
2020-01-13,1435.250000
2020-01-14,1440.000000
2020-01-15,1433.020020
2020-01-16,1445.449951
2020-01-17,1462.540039
2020-01-21,1479.000000
2020-01-22,1489.729980
2020-01-23,1487.550049
2020-01-24,1492.819946
2020-01-27,1431.540039
2020-01-28,1441.739990
2020-01-29,1458.459961
2020-01-30,1438.099976
2020-01-31,1467.859985
2020-02-03,1461.650024
2020-02-04,1454.489990
2020-02-05,1463.609985
2020-02-06,1451.979980
2020-02-07,1467.390015
2020-02-10,1477.229980
2020-02-11,1513.270020
2020-02-12,1515.859985
2020-02-13,1510.000000
2020-02-14,1514.530029
2020-02-18,1514.339966
2020-02-19,1527.199951
2020-02-20,1519.010010
2020-02-21,1504.579956
2020-02-24,1423.050049
2020-02-25,1431.000000
2020-02-26,1394.979980
2020-02-27,1359.140015
2020-02-28,1274.310059
2020-03-02,1351.390015
2020-03-03,1397.680054
2020-03-04,1358.959961
2020-03-05,1345.550049
2020-03-06,1269.949951
2020-03-09,1204.959961
2020-03-10,1254.390015
2020-03-11,1248.270020
2020-03-12,1122.619995
2020-03-13,1174.989990
2020-03-16,1089.609985
2020-03-17,1090.640015
2020-03-18,1059.939941
2020-03-19,1088.219971
