date,value
2019-06-17,2889.750000
2019-06-18,2906.709961
2019-06-19,2920.550049
2019-06-20,2949.600098
2019-06-21,2952.709961
2019-06-24,2951.419922
2019-06-25,2945.780029
2019-06-26,2926.070068
2019-06-27,2919.659912
2019-06-28,2932.939941
2019-07-01,2971.409912
2019-07-02,2964.659912
2019-07-03,2978.080078
2019-07-05,2984.250000
2019-07-08,2979.770020
2019-07-09,2965.520020
2019-07-10,2989.300049
2019-07-11,2999.620117
2019-07-12,3003.360107
2019-07-15,3017.800049
2019-07-16,3012.129883
2019-07-17,3005.100098
2019-07-18,2978.870117
2019-07-19,3004.260010
2019-07-22,2981.929932
2019-07-23,2994.739990
2019-07-24,2998.770020
2019-07-25,3016.260010
2019-07-26,3013.250000
2019-07-29,3024.469971
2019-07-30,3007.659912
2019-07-31,3016.219971
2019-08-01,2980.320068
2019-08-02,2943.899902
2019-08-05,2898.070068
2019-08-06,2861.179932
2019-08-07,2858.649902
2019-08-08,2896.209961
2019-08-09,2930.510010
2019-08-12,2907.070068
2019-08-13,2880.719971
2019-08-14,2894.149902
2019-08-15,2846.199951
2019-08-16,2864.739990
2019-08-19,2913.479980
2019-08-20,2919.010010
2019-08-21,2922.040039
2019-08-22,2930.939941
2019-08-23,2911.070068
2019-08-26,2866.699951
2019-08-27,2893.139893
2019-08-28,2861.280029
2019-08-29,2910.370117
2019-08-30,2937.090088
2019-09-03,2909.010010
2019-09-04,2924.669922
2019-09-05,2960.600098
2019-09-06,2980.330078
2019-09-09,2988.429932
2019-09-10,2971.010010
2019-09-11,2981.409912
2019-09-12,3009.080078
2019-09-13,3012.209961
2019-09-16,2996.409912
2019-09-17,2995.669922
2019-09-18,3001.500000
2019-09-19,3010.360107
2019-09-20,3008.419922
2019-09-23,2983.500000
2019-09-24,3002.429932
2019-09-25,2968.350098
2019-09-26,2985.729980
2019-09-27,2985.469971
2019-09-30,2967.070068
2019-10-01,2983.689941
2019-10-02,2924.780029
2019-10-03,2885.379883
2019-10-04,2918.560059
2019-10-07,2944.229980
2019-10-08,2920.399902
2019-10-09,2911.100098
2019-10-10,2918.550049
