date,value
2019-06-17,7819.430176
2019-06-18,7920.979980
2019-06-19,7970.259766
2019-06-20,8087.450195
2019-06-21,8028.689941
2019-06-24,8040.580078
2019-06-25,8005.270020
2019-06-26,7933.919922
2019-06-27,7939.359863
2019-06-28,7988.759766
2019-07-01,8145.850098
2019-07-02,8086.649902
2019-07-03,8129.569824
2019-07-05,8123.279785
2019-07-08,8112.910156
2019-07-09,8061.410156
2019-07-10,8183.189941
2019-07-11,8219.280273
2019-07-12,8209.200195
2019-07-15,8263.179688
2019-07-16,8251.660156
2019-07-17,8224.000000
2019-07-18,8151.759766
2019-07-19,8241.339844
2019-07-22,8171.990234
2019-07-23,8242.500000
2019-07-24,8227.360352
2019-07-25,8294.679688
2019-07-26,8294.299805
2019-07-29,8325.099609
2019-07-30,8231.769531
2019-07-31,8290.799805
2019-08-01,8190.560059
2019-08-02,8056.419922
2019-08-05,7823.330078
2019-08-06,7804.509766
2019-08-07,7747.270020
2019-08-08,7921.589844
2019-08-09,7997.189941
2019-08-12,7907.490234
2019-08-13,7852.370117
2019-08-14,7877.330078
2019-08-15,7790.200195
2019-08-16,7828.350098
2019-08-19,8006.180176
2019-08-20,7989.359863
2019-08-21,8017.069824
2019-08-22,8038.790039
2019-08-23,7943.649902
2019-08-26,7829.580078
2019-08-27,7908.779785
2019-08-28,7798.350098
2019-08-29,7945.779785
2019-08-30,8015.160156
2019-09-03,7906.439941
2019-09-04,7949.810059
2019-09-05,8061.290039
2019-09-06,8125.580078
2019-09-09,8130.910156
2019-09-10,8049.979980
2019-09-11,8091.680176
2019-09-12,8206.580078
2019-09-13,8190.569824
2019-09-16,8121.640137
2019-09-17,8148.649902
2019-09-18,8174.620117
2019-09-19,8193.589844
2019-09-20,8184.879883
2019-09-23,8106.490234
2019-09-24,8147.229980
2019-09-25,7990.660156
2019-09-26,8070.120117
2019-09-27,8047.109863
2019-09-30,7964.089844
2019-10-01,8026.830078
2019-10-02,7851.129883
2019-10-03,7787.020020
2019-10-04,7908.439941
2019-10-07,7956.410156
2019-10-08,7898.270020
2019-10-09,7895.959961
2019-10-10,7904.560059
2019-10-11,8047.339844
2019-10-14,8044.350098
2019-10-15,8074.850098
2019-10-16,8119.810059
2019-10-17,8176.910156
2019-10-18,8149.850098
2019-10-21,8137.419922
2019-10-22,8188.120117
2019-10-23,8090.240234
