date,value
6-17/20/9-,889.750000
6-18/20/9-,906.709961
6-19/20/9-,920.550049
6-20/20/9-,949.600098
6-21/20/9-,952.709961
6-24/20/9-,951.419922
6-25/20/9-,945.780029
6-26/20/9-,926.070068
6-27/20/9-,919.659912
6-28/20/9-,932.939941
7-01/20/9-,971.409912
7-02/20/9-,964.659912
7-03/20/9-,978.080078
7-05/20/9-,984.250000
7-08/20/9-,979.770020
7-09/20/9-,965.520020
7-10/20/9-,989.300049
7-11/20/9-,999.620117
7-12/20/9-,003.360107
7-15/20/9-,017.800049
7-16/20/9-,012.129883
7-17/20/9-,005.100098
7-18/20/9-,978.870117
7-19/20/9-,004.260010
7-22/20/9-,981.929932
7-23/20/9-,994.739990
7-24/20/9-,998.770020
7-25/20/9-,016.260010
7-26/20/9-,013.250000
7-29/20/9-,024.469971
7-30/20/9-,007.659912
7-31/20/9-,016.219971
8-01/20/9-,980.320068
8-02/20/9-,943.899902
8-05/20/9-,898.070068
8-06/20/9-,861.179932
8-07/20/9-,858.649902
8-08/20/9-,896.209961
8-09/20/9-,930.510010
8-12/20/9-,907.070068
8-13/20/9-,880.719971
8-14/20/9-,894.149902
8-15/20/9-,846.199951
8-16/20/9-,864.739990
8-19/20/9-,913.479980
8-20/20/9-,919.010010
8-21/20/9-,922.040039
8-22/20/9-,930.939941
8-23/20/9-,911.070068
8-26/20/9-,866.699951
8-27/20/9-,893.139893
8-28/20/9-,861.280029
8-29/20/9-,910.370117
8-30/20/9-,937.090088
9-03/20/9-,909.010010
9-04/20/9-,924.669922
9-05/20/9-,960.600098
9-06/20/9-,980.330078
9-09/20/9-,988.429932
9-10/20/9-,971.010010
9-11/20/9-,981.409912
9-12/20/9-,009.080078
9-13/20/9-,012.209961
9-16/20/9-,996.409912
9-17/20/9-,995.669922
9-18/20/9-,001.500000
9-19/20/9-,010.360107
9-20/20/9-,008.419922
9-23/20/9-,983.500000
9-24/20/9-,002.429932
9-25/20/9-,968.350098
9-26/20/9-,985.729980
9-27/20/9-,985.469971
9-30/20/9-,967.070068
0-01/20/9-,983.689941
0-02/20/9-,924.780029
0-03/20/9-,885.379883
0-04/20/9-,918.560059
0-07/20/9-,944.229980
0-08/20/9-,920.399902
0-09/20/9-,911.100098
0-10/20/9-,918.550049
0-11/20/9-,963.070068
0-14/20/9-,965.810059
0-15/20/9-,973.610107
0-16/20/9-,989.679932
0-17/20/9-,000.770020
0-18/20/9-,996.840088
0-21/20/9-,996.479980
0-22/20/9-,010.729980
0-23/20/9-,994.010010
0-24/20/9-,014.780029
0-25/20/9-,003.320068
0-28/20/9-,032.120117
0-29/20/9-,035.389893
0-30/20/9-,039.739990
0-31/20/9-,046.899902
1-01/20/9-,050.719971
1-04/20/9-,078.959961
1-05/20/9-,080.800049
1-06/20/9-,075.100098
1-07/20/9-,087.020020
1-08/20/9-,081.250000
1-11/20/9-,080.330078
1-12/20/9-,089.280029
1-13/20/9-,084.179932
1-14/20/9-,090.750000
1-15/20/9-,107.919922
1-18/20/9-,117.909912
1-19/20/9-,127.449951
1-20/20/9-,114.659912
1-21/20/9-,108.489990
1-22/20/9-,111.409912
1-25/20/9-,117.439941
1-26/20/9-,134.850098
1-27/20/9-,145.489990
1-29/20/9-,147.179932
2-02/20/9-,143.850098
2-03/20/9-,087.409912
2-04/20/9-,103.500000
2-05/20/9-,119.209961
2-06/20/9-,134.620117
2-09/20/9-,141.860107
2-10/20/9-,135.360107
2-11/20/9-,135.750000
2-12/20/9-,141.229980
2-13/20/9-,166.649902
2-16/20/9-,183.629883
2-17/20/9-,195.399902
2-18/20/9-,195.209961
2-19/20/9-,192.320068
2-20/20/9-,223.330078
2-23/20/9-,226.050049
2-24/20/9-,225.449951
2-26/20/9-,227.199951
2-27/20/9-,247.229980
2-30/20/9-,240.090088
2-31/20/9-,215.179932
1-02/20/0-,244.669922
1-03/20/0-,226.360107
1-06/20/0-,217.550049
1-07/20/0-,241.860107
1-08/20/0-,238.590088
1-09/20/0-,266.030029
1-10/20/0-,281.810059
1-13/20/0-,271.129883
1-14/20/0-,285.350098
1-15/20/0-,282.270020
1-16/20/0-,302.969971
1-17/20/0-,323.659912
1-21/20/0-,321.030029
1-22/20/0-,330.020020
1-23/20/0-,315.770020
1-24/20/0-,333.100098
1-27/20/0-,247.159912
1-28/20/0-,255.350098
1-29/20/0-,289.459961
1-30/20/0-,256.449951
1-31/20/0-,282.330078
